Temperature (C) ,Detuning (GHz) ,Laser Power (uW) ,Cost filtered (V/nT),Cost unfiltered (V/nT),Loop,Run_number,C(1D),A(1D),G(1D),By(1D),Error C(1D),Error A(1D),Error G(1D),Error By(1D),G1(2D),G2(2D),C(2D),A(2D),Bx(2D),Bz(2D),Error G1(2D),Error G2(2D),Error C(2D),Error A(2D),Error Bx(2D),Error Bz(2D),NA
114,12,755,0.000055,0.000055,4,73,0.850648,0.016314,297.11673,147.509834,0.000142,0.000181,7.006232,2.874929,1619.316031,2172.853838,-0.897038,-0.042855,-5.638784,288.093797,383.764775,531.799676,0.019677,0.019693,11.333844,21.756721,NA
85,14,944,0.000029,0.000029,4,74,1.821075,0.007093,248.858739,-20.60201,0.000203,0.000304,22.251952,9.925599,1326.692862,1335.90357,-1.835195,-0.009014,-12.356433,-313.583458,176.878409,141.097503,0.001563,0.001577,13.170429,19.76185,NA
85,14,997,0.000082,0.000082,4,75,1.913732,0.007183,87.412585,-15.169987,0.000128,0.000526,10.454239,6.383157,7793.833927,6769.469841,-2.128899,-0.21229,-0.41396,-125.871136,12564.6804,11077.98486,0.688238,0.688236,12.225892,12.252867,NA
110,15,881,0.000038,0.000038,4,76,1.126645,0.012332,328.028684,144.700522,0.000319,0.000369,21.041779,8.098021,1426.154277,1675.073686,-1.153109,-0.021638,-8.196675,319.598075,205.213812,231.631961,0.005313,0.005324,11.635025,20.358384,NA
114,15,846,0.000117,0.000117,4,77,1.013885,0.015382,131.958595,31.389202,0.000144,0.000419,6.32327,3.566969,1273.703188,1333.233651,-1.034047,-0.017364,-2.845224,55.049705,222.544362,203.364883,0.004528,0.004597,11.809171,15.04454,NA
122,11,1152,0.000592,0.000592,4,78,0.998841,0.050471,85.27138,-14.043203,0.000189,0.000793,2.181132,1.336663,3807.882835,6954.887208,-2.177457,-1.158658,-10.174494,-46.359389,18483.55003,33680.08432,11.175508,11.175711,10.745777,20.038898,NA
125,14,996,0.000286,0.000286,4,79,0.924428,0.027836,97.336401,41.154855,0.000193,0.000729,4.228978,2.544351,1940.088244,2812.523709,-1.01546,-0.087181,-8.991411,36.116399,1349.194743,1942.393114,0.116791,0.116875,11.349853,17.164476,NA
77,15,944,0.000025,0.000025,4,80,1.810226,0.003358,134.427835,-19.075549,0.000237,0.000676,47.869746,26.875563,5309.86355,2942.781455,-1.834709,-0.022748,2.026499,-216.641349,1673.512594,963.253673,0.013668,0.013639,28.760853,22.161023,NA
86,15,1007,0.000071,0.000071,5,81,1.932235,0.006613,93.20774,15.217742,0.000123,0.000484,11.236337,6.797199,3232.147652,2469.366326,-1.964009,-0.029287,-2.472916,55.057325,939.773323,753.711414,0.016626,0.016635,14.699337,12.964515,NA
86,12,755,0.000062,0.000062,5,82,1.519699,0.00621,100.000055,0,0.000107,0.000394,10.584526,0.167703,1756.134787,2717.569276,-1.559568,-0.03532,1.874643,-124.224939,1145.198446,1761.963705,0.044369,0.044402,11.930157,20.943932,NA
85,15,997,0.000024,0.000024,5,85,1.928112,0.006706,274.210612,-49.050225,0.000228,0.000307,26.784909,11.333556,591.219747,1097.292301,-1.938565,-0.005163,-0.51571,-268.664932,137.336408,193.599688,0.00157,0.001608,12.931057,30.065178,NA
85,12,997,0.000091,0.000091,5,86,1.96266,0.010049,109.831552,-13.4436,0.000129,0.00044,8.158041,4.793556,487.915539,839.977276,-1.974565,-0.005416,-2.279157,-129.289281,145.429831,158.644366,0.001647,0.001761,14.662389,27.688126,NA
86,12,907,0.000152,0.000152,5,87,1.794799,0.009195,60.4923,-5.171363,0.000143,0.000764,7.771119,5.170727,1073.752323,1211.470478,-1.809904,-0.010626,4.308283,-55.499798,209.288377,194.734486,0.002878,0.002942,12.768142,17.4313,NA
114,14,1174,0.000206,0.000206,5,88,1.357918,0.031783,154.303331,60.061608,0.000166,0.000414,3.668931,1.984534,1231.651248,2010.684692,-1.442825,-0.077274,-8.18758,103.429004,500.716894,783.789174,0.057167,0.057312,10.882042,19.700403,NA
85,12,907,0.000077,0.000077,5,91,1.801094,0.008313,107.870585,-22.526818,0.000297,0.001032,22.636495,13.347356,668.206774,1029.168484,-1.81278,-0.006866,-9.62263,-127.954444,154.409556,174.302508,0.001953,0.002022,12.565081,22.334317,NA
85,12,997,0.000107,0.000107,5,92,1.961037,0.010656,99.85266,-16.785888,0.000205,0.00076,11.881043,7.10549,1068.498485,1188.778686,-1.975094,-0.010342,-7.624371,-139.255925,176.153524,157.009054,0.002271,0.002323,12.041179,17.034231,NA
85,11,1142,0.000114,0.000114,5,93,2.216642,0.012983,113.637768,-7.744097,0.000142,0.000472,7.056897,4.118235,1078.89177,1268.142297,-2.239448,-0.015741,-22.874898,-158.870792,161.764573,158.693711,0.003353,0.003409,10.530343,15.589709,NA
86,15,846,0,0.000007,5,94,1.639415,0.016222,2305.381341,215.003677,0.021102,0.021012,1810.212712,39.352395,40708.43625,72682.82501,-19.785754,-18.133352,-4.700847,525.658054,NaN,NaN,NaN,NaN,12.925686,50.476221,NA
98,10,881,0.000195,0.000195,5,95,1.50099,0.016948,86.930627,-13.811238,0.000198,0.000818,6.847641,4.186097,2123.224828,1680.204886,-1.542926,-0.035975,-1.83995,-35.744227,398.263512,306.489497,0.01144,0.011497,14.409147,14.099519,NA
102,12,907,0.000058,0.000058,5,96,1.433395,0.015937,274.553084,10.822927,0.000541,0.000728,26.758241,11.292056,-1523809.051,1301.503046,-1.43486,0.010516,-9.603439,151.483357,2018759.183,320.725757,0.000446,0.027007,107.831733,2.287157,NA
114,15,846,0.000181,0.000181,5,98,1.028226,0.01683,93.048099,13.182663,0.00018,0.000708,6.44795,3.902969,1184.184272,1522.19815,-1.057632,-0.023973,-12.676437,26.580494,282.133944,332.121409,0.009421,0.009503,11.216191,16.123963,NA
122,11,1152,0.000668,0.000668,5,99,1.008734,0.054639,81.740896,6.982115,0.000171,0.000741,1.789351,1.108458,2056.028629,3370.557577,-1.320695,-0.293047,-6.935219,-10.387736,2121.154947,3445.304956,0.587756,0.587957,10.247736,17.099748,NA
85,12,907,0.000067,0.000067,5,100,1.799384,0.008258,123.320498,10.584144,0.000145,0.000446,11.567256,6.63047,759.661429,1239.43261,-1.814445,-0.009825,-12.118513,81.709403,204.929809,273.685514,0.003842,0.003909,12.064317,21.758021,NA
86,11,1007,0.000131,0.000131,6,101,1.959067,0.010901,83.342021,-2.048852,0.000141,0.000603,7.456305,4.614215,5088.99926,6257.205566,-2.252351,-0.286527,2.323446,-37.657071,12296.38608,15185.34334,1.380245,1.380282,10.736386,13.527038,NA
86,12,907,0.000109,0.000109,6,102,1.792525,0.008498,78.030886,3.01691,0.000182,0.000816,11.998692,7.517776,1177.747743,1617.23544,-1.814471,-0.01736,-0.616557,7.811564,351.754317,447.777934,0.008797,0.008856,12.040406,18.05943,NA
85,15,774,0.000015,0.000015,6,104,1.528585,0.004388,302.574854,99.51855,0.000286,0.000352,52.21627,20.938002,1072.94643,1153.577715,-1.536747,-0.004791,-52.303747,91.237651,252.894698,214.046107,0.001463,0.001504,17.278545,22.852736,NA
85,12,997,0.000106,0.000106,6,106,1.96341,0.010021,94.6878,-6.047842,0.000167,0.000647,10.100231,6.104034,1381.04765,921.371476,-1.974938,-0.006824,7.527158,-92.956751,233.370024,91.962906,0.000923,0.001005,15.556874,16.274467,NA
85,12,997,0.000044,0.000044,6,107,1.962778,0.008163,185.867349,-20.914442,0.000153,0.000315,13.782722,7.001857,976.272,1335.80001,-1.980416,-0.012934,4.890453,-236.042295,165.794767,194.936002,0.00329,0.003328,11.361079,20.340811,NA
85,12,907,0.000056,0.000056,6,108,1.800509,0.00846,150.747309,-10.623466,0.000202,0.000516,16.703942,9.090791,805.126271,828.391358,-1.80953,-0.004954,8.858761,86.595266,168.748262,105.572857,0.000917,0.001008,14.583683,19.708433,NA
