"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G2(2D)"
"117.000000","9.000000","709.000000","0.007928","0.007928","4.000000","77.000000","0.677761","1.353556","170.736177","-13.519904","0.004043","0.009108","2.157488","1.129378","170.736177"
"109.000000","-7.500000","816.000000","0.003787","0.003787","4.000000","78.000000","1.070671","1.784668","471.259872","9.222476","0.021486","0.019646","9.872588","2.655184","471.259872"
"121.000000","9.000000","748.000000","0.010644","0.010644","4.000000","79.000000","0.507522","1.637857","153.872349","-14.187813","0.005886","0.014730","2.528467","1.367829","153.872349"
"115.000000","7.000000","503.000000","0.006189","0.006189","4.000000","80.000000","0.477041","0.917457","148.247772","-10.088443","0.001806","0.004688","1.371164","0.749819","148.247772"
"109.000000","-12.500000","874.000000","0.003669","0.003669","5.000000","81.000000","1.885432","1.518471","413.836787","7.220108","0.011502","0.011009","6.179356","1.902190","413.836787"
"109.000000","-7.500000","816.000000","0.003580","0.003580","5.000000","82.000000","1.190205","1.597681","446.288182","1.847612","0.025254","0.023443","12.935383","3.689390","446.288182"
"109.000000","-7.500000","816.000000","0.003272","0.003272","5.000000","83.000000","1.194632","1.583828","484.087449","-22.691028","0.025417","0.023122","13.178495","3.443367","484.087449"
"109.000000","-12.500000","874.000000","0.003440","0.003440","5.000000","84.000000","1.844366","1.519088","441.534798","7.940432","0.022890","0.021328","12.326687","3.555967","441.534798"
"120.000000","-13.500000","796.000000","0.003553","0.003553","5.000000","85.000000","0.855708","1.297239","365.112371","10.030671","0.011450","0.011825","7.151671","2.464683","365.112371"
"120.000000","-13.500000","597.000000","0.002776","0.002776","5.000000","86.000000","0.657538","0.967961","348.667346","-30.562714","0.008770","0.009393","7.321170","2.623033","348.667346"
"115.000000","-7.000000","796.000000","0.003631","0.003631","5.000000","87.000000","0.609520","1.522862","419.461184","-5.935382","0.019040","0.018110","10.205921","3.100513","419.461184"
"109.000000","-7.500000","796.000000","0.003547","0.003547","5.000000","88.000000","1.163603","1.646297","464.098868","9.001123","0.020496","0.018811","10.203987","2.791163","464.098868"
"115.000000","-7.500000","874.000000","0.004023","0.004023","5.000000","89.000000","0.737120","1.703556","423.424264","-0.467204","0.019829","0.018780","9.504961","2.860638","423.424264"
"120.000000","6.500000","796.000000","0.009956","0.009956","5.000000","90.000000","0.384210","1.824549","183.259507","-14.058622","0.007273","0.015219","2.927516","1.494886","183.259507"
"109.000000","7.000000","796.000000","0.004578","0.004578","5.000000","91.000000","1.147586","1.330726","290.687941","-14.303762","0.004281","0.005428","2.555249","1.041075","290.687941"
"115.000000","-7.000000","796.000000","0.004106","0.004106","5.000000","92.000000","0.536454","1.600999","389.893215","4.495777","0.016646","0.016454","8.456611","2.752163","389.893215"
"115.000000","7.000000","503.000000","0.006522","0.006522","5.000000","93.000000","0.433068","0.965950","148.104458","-9.892770","0.001353","0.003514","0.975065","0.533359","148.104458"
"115.000000","-7.000000","796.000000","0.003839","0.003839","5.000000","94.000000","0.553880","1.525793","397.476107","-6.240621","0.014946","0.014610","7.975468","2.550406","397.476107"
"116.000000","3.500000","557.000000","0.006482","0.006482","5.000000","95.000000","0.302383","1.175329","181.318014","-12.010384","0.003497","0.007400","2.179770","1.117362","181.318014"
"111.000000","-0.500000","874.000000","0.004752","0.004752","5.000000","96.000000","0.591032","1.910870","402.091476","-13.219657","0.016004","0.015548","6.823865","2.159499","402.091476"
"117.000000","9.000000","709.000000","0.008324","0.008324","5.000000","97.000000","0.670036","1.385951","166.491947","-15.958860","0.005397","0.012477","2.795604","1.475689","166.491947"
"109.000000","7.000000","796.000000","0.004826","0.004826","5.000000","98.000000","1.160890","1.301320","269.624257","-14.273998","0.005238","0.007190","3.167607","1.351188","269.624257"
"121.000000","9.000000","748.000000","0.010702","0.010702","5.000000","99.000000","0.502982","1.649273","154.115554","-14.199151","0.006030","0.015067","2.573444","1.391507","154.115554"
"115.000000","-7.500000","874.000000","0.004100","0.004100","5.000000","100.000000","0.637102","1.768685","431.392634","1.929952","0.019683","0.018498","9.094675","2.686486","431.392634"
"115.000000","-7.500000","874.000000","0.003735","0.003735","6.000000","101.000000","0.677465","1.681360","450.116466","-15.932238","0.021616","0.020017","10.526882","2.977650","450.116466"
"115.000000","-7.000000","462.000000","0.000000","NaN","6.000000","102.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"115.000000","-7.000000","796.000000","0.000000","NaN","6.000000","103.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"115.000000","-7.500000","796.000000","0.003907","0.003907","6.000000","104.000000","0.593394","1.586606","406.103630","-8.233352","0.015319","0.014801","7.869501","2.466661","406.103630"
"115.000000","7.000000","796.000000","0.007149","0.007149","6.000000","105.000000","0.674953","1.574640","220.246048","-12.068048","0.005740","0.009843","2.779449","1.316333","220.246048"
"115.000000","7.000000","796.000000","0.006638","0.006638","6.000000","106.000000","0.688856","1.526804","230.015307","-11.681357","0.007294","0.011921","3.670570","1.703346","230.015307"
"111.000000","-0.500000","874.000000","0.004633","0.004633","6.000000","107.000000","0.545148","1.953995","421.730168","-9.893976","0.021299","0.020211","8.900293","2.689966","421.730168"
"109.000000","-7.000000","796.000000","0.003701","0.003701","6.000000","108.000000","0.931171","1.755258","474.329903","7.899058","0.022521","0.020563","10.524056","2.809681","474.329903"
"109.000000","7.000000","796.000000","0.004978","0.004978","6.000000","109.000000","1.088579","1.365551","274.323134","-4.582236","0.004593","0.006188","2.652705","1.119917","274.323134"
"111.000000","-0.500000","796.000000","0.004787","0.004787","6.000000","110.000000","0.541489","1.731175","361.660247","-14.413626","0.010215","0.010625","4.778372","1.660149","361.660247"
"90.000000","3.500000","557.000000","0.001956","0.001956","6.000000","111.000000","1.707856","0.713163","364.588781","-6.012467","0.004059","0.004196","4.610521","1.590656","364.588781"
"109.000000","7.000000","874.000000","0.004657","0.004657","6.000000","112.000000","1.210747","1.417958","304.472958","-11.760789","0.008958","0.010837","5.042496","1.992758","304.472958"
"115.000000","7.000000","503.000000","0.006888","0.006888","6.000000","113.000000","0.418945","0.971062","140.985005","-7.889949","0.001748","0.004762","1.236239","0.685474","140.985005"
"111.000000","-0.500000","874.000000","0.004837","0.004837","6.000000","114.000000","0.592544","1.929288","398.878697","-13.799973","0.014252","0.013906","6.016328","1.918279","398.878697"
"117.000000","9.000000","709.000000","0.008388","0.008388","6.000000","115.000000","0.658864","1.398102","166.677964","-12.122006","0.004036","0.009320","2.072956","1.093804","166.677964"
"109.000000","7.000000","796.000000","0.004692","0.004692","6.000000","116.000000","1.170323","1.297651","276.581325","-11.101069","0.004252","0.005678","2.586681","1.086793","276.581325"
"120.000000","6.500000","796.000000","0.009884","0.009884","6.000000","117.000000","0.413985","1.780890","180.178848","-12.842423","0.007434","0.015836","3.053947","1.569035","180.178848"
