"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
245.96,361.82,3.5366,0.69,1.2639,4.7498,-259.95,0.95124,0.84426,2.4512e-07,4.5728e-07,0.20646,0.20646,0.28785,0.0001621,422.82332,7.629101,78.666067,0.20402
236.18,322,3.6004,0.68587,1.9622,2.2534,-265.28,0.83641,0.69126,2.0956e-07,4.1393e-07,0.19435,0.19435,0.23157,0.00014988,413.945911,9.148133,79.026731,0.19139
150.41,305.11,1.8171,0.44124,2.1267,2.648,-152.84,0.35775,0.74273,5.1687e-08,2.107e-07,0.16639,0.16639,0.22511,5.6954e-05,220.520529,4.180399,79.204855,0.24662
204.12,720.02,3.8226,0.51583,8.0602,0.44154,209.97,1.1954,6.0426,2.6024e-07,5.0694e-07,0.32303,0.32302,1.798,0.00015039,434.686172,-2.768571,79.30598,0.14067
-35.227,909.52,4.8688,2.9799e-06,738.53,-319.87,-122.28,0.036663,2.5785,2.0324e-11,7.4451e-12,1.49,2.8623,22.018,1.6221e-07,639.453768,3.784415,79.412128,0.00066277
98.348,673.07,4.8679,-0.0001895,30.652,-9.7412,248.48,2033.7,1374.9,9.6706e-11,8.2049e-10,2016,2015.5,12607,1.3341e-07,693.156138,-17.105737,79.525132,0.00063662
215.69,747.77,3.6916,0.6096,5.988,2.0604,86.564,1.2684,6.1241,3.7148e-07,6.4986e-07,0.30164,0.30163,1.4639,0.00019575,434.94873,-0.905651,79.599971,0.17278
-2.7828e-05,15.532,4.8688,0.9694,631.09,-205.12,-443.25,4.0798e-11,7.2341e-09,4.181e-11,0.0017326,144.55,161.11,1.5933e-08,3.2546e-07,608.181953,4.236217,79.677227,0.0036736
3.4053,2025.6,4.8688,-0.00024907,29.376,-50.984,-16747,2.0797,5.5734e-06,7.908e-10,5.5197e-10,1420.6,1424.4,5.7487e-07,1.3826e-07,553.527876,-9.558033,79.802554,0.00065313
-1.9065e-05,16.449,4.8688,1.1027,626.87,-198.32,-391.97,2.1967e-11,6.1846e-08,2.2508e-11,0.0031794,132.97,203.19,8.2977e-07,1.7501e-07,654.721354,4.45014,79.803067,0.00067226
-17.552,1127.4,4.869,2.669e-07,710.34,-247.12,95.779,0.00081201,7.7995e-06,2.025e-11,3.3559e-13,0.066639,0.008149,0.00012911,1.6187e-07,606.851142,0.075945,79.881096,0.00081407
-0.038697,-13444,4.8691,1.0618e-09,-16610,16457,2015.1,0,0,2.4057e-11,0,0,0,0,1.9246e-07,660.961043,7.696283,79.899096,0.00073096
-3.0087e-05,15.287,4.8681,1.13,630.43,-309.26,-318.76,8.7166e-10,0.53362,2.175e-11,1.8733,66.285,77.137,17606,1.6895e-07,650.982457,9.868026,80.693721,0.00064396
147.19,310.5,1.7915,0.50487,2.2558,3.1421,-148.53,0.35394,0.7912,6.8661e-08,2.9196e-07,0.171,0.171,0.24005,7.6916e-05,224.925706,3.947901,80.713288,0.28181
92713,-93285,4.7462,0.016856,-482610,372880,654330,1.7685e-14,1.5271e-14,0.00020793,4.2961e-06,9.4029e-16,5.6233e-16,1.4081e-15,0.00043129,596.054761,5.490248,81.147435,0.03497
9721.8,1003,3.2979,1.6,6.067,-9.0107,384.01,732440,68.652,0.015926,0.015847,2.3588,2.3597,15.571,0.00031887,515.002549,-4.339958,81.163297,0.047333
1209.2,356.2,4.2521,0.68198,4.3931,2.2017,-303.7,243.4,4.5388,1.3477e-05,1.1666e-05,2.1136,2.1135,1.3593,0.00092319,532.62134,8.776844,81.261072,0.10733
195.61,763.43,3.3293,0.70993,4.6474,-1.0763,139.48,0.81675,5.3048,3.5287e-07,7.222e-07,0.23336,0.23336,1.3423,0.00020732,376.432609,-2.31026,81.286788,0.20749
-42.998,618.96,4.8692,5.5145e-07,626.6,-242.41,313.3,1.0472,35.991,4.0209e-10,2.1651e-11,40.842,47.733,69.935,3.2119e-06,585.181677,8.570039,81.619157,0.0048133
1476.2,1051.9,4.0272,0.90424,2.5636,-0.26828,135.51,671.64,40.92,8.7394e-05,7.7554e-05,1.1813,1.1813,7.0529,0.00066414,515.002549,-1.267485,81.820423,0.094289
268.28,509.61,3.723,1.1471,0.21505,3.0797,-268.7,1.0707,1.3484,8.1702e-07,1.2254e-06,0.19062,0.19062,0.47587,0.00041733,476.233933,4.801722,82.034212,0.29425
-14790,34987,4.8477,0.0050747,-152380,156030,-384370,1.3998e-15,2.339e-16,3.477e-05,2.0878e-06,1.0383e-17,1.0888e-17,8.4404e-18,0.00010859,554.7766,-2.367304,82.372462,0.030583
171.63,627.15,3.8027,0.55111,7.8614,-1.7721,336.29,0.67922,3.8102,1.8806e-07,5.2187e-07,0.26796,0.26795,1.6433,0.00014364,387.82853,-5.69444,82.435353,0.14627
244.92,336.83,3.7874,0.91911,1.3249,3.1133,-268.34,0.9005,0.7302,4.0116e-07,7.5318e-07,0.19735,0.19735,0.24751,0.00027277,454.849842,9.225811,82.502936,0.24285
69924000,682.93,-5392.1,5397,5.1241,3.914,-190.93,9.8063e-05,65.623,4115.4,4115.5,8.6396,8.639,16.278,0.00060732,599.464701,1.529241,82.537358,0.054704
224.11,299.61,3.5941,0.83013,1.2095,2.7208,-255.85,0.8951,0.75166,3.3121e-07,7.0214e-07,0.22434,0.22434,0.24531,0.00025404,431.465958,9.531965,82.579413,0.24316
40034000,663.59,-1558.8,1563.7,4.8636,0.57471,-84.699,5.0082e-06,145.49,820.76,820.78,21.152,21.15,36.642,0.00039676,599.464892,1.529423,82.790938,0.039454
172.49,639.08,3.4147,0.59302,7.8925,-1.2891,274.91,0.7268,4.1871,2.3035e-07,6.4906e-07,0.27959,0.27958,1.537,0.00017436,360.008396,-5.023354,83.025932,0.17286
224.58,434.35,2.9796,0.99969,0.7327,3.1419,-232.04,0.70856,1.0228,4.4325e-07,9.3199e-07,0.1774,0.1774,0.34777,0.00030193,382.822611,4.773741,83.094403,0.33322
2193.9,-1081.2,4.9292,-0.048371,0.80414,0.83847,-146.58,1135.4,217.65,1.2617e-06,8.781e-07,2.229,2.229,18.879,0.00021695,599.464699,1.529241,83.232592,0.04197
207.73,300.24,3.1074,0.82277,1.3667,3.3759,-240.62,0.66195,0.65969,2.5615e-07,6.0874e-07,0.18715,0.18715,0.21314,0.00021133,387.365457,7.577219,83.441885,0.26679
-36673000,357710000,4.6616,0.080411,-2610100,-1024000,-401600000,3.3603e-08,4.4989e-12,1742900000,1741900000,4.9887e-06,7.6823e-07,3.4852e-10,0.18384,612.119118,-1.349074,83.557963,1.3419
48267,3374.3,4.8465,0.055623,227740,-59884,51844,6.0156e-19,1.3507e-16,4.8734e-06,2.9595e-05,1.3817e-19,9.5703e-21,2.5274e-17,7.8122e-06,619.508588,5.26008,83.750389,0.013788
3016.2,481.46,3.8159,1.1183,3.1101,-0.89094,-307.58,4293.4,8.8293,0.00024132,0.00022759,2.3962,2.3961,2.3423,0.0013711,571.235398,7.418727,83.801883,0.11756
-4.8966,664.56,4.8691,-2.7258e-07,614.31,-242.91,262.82,3.7569e-06,2.4097e-07,1.4784e-10,1.9773e-13,0.00063936,0.00034526,3.6321e-07,1.1823e-06,593.095672,9.77358,83.83476,0.0038706
148.36,217.83,2.1365,0.6028,2.3281,3.5993,-178.18,0.46455,0.61461,1.0496e-07,3.7315e-07,0.19214,0.19214,0.16993,0.00011906,259.320962,7.746797,83.864466,0.28624
3374,375.43,4.0613,0.85523,6.3271,4.7675,-309.82,5525.5,6.5213,0.00014185,0.00013496,3.0492,3.049,1.774,0.00096173,549.221407,9.018341,83.947017,0.092579
5491.4,382.31,3.9086,1.0004,8.1367,0.29394,-318.65,27621,7.5215,0.00048613,0.00047423,3.3765,3.3752,1.9638,0.00085366,549.221602,9.018341,84.003723,0.08621
5092.6,400.69,3.8646,1.0485,6.955,-1.2276,-319.87,21803,7.7835,0.00047906,0.00046601,3.159,3.1582,2.0297,0.00094439,549.221376,9.018331,84.092741,0.091131
4850.4,397.45,3.8842,1.0295,6.8335,6.2963,-320.06,18210,7.5315,0.00041356,0.00040144,3.1143,3.1142,1.974,0.00095259,549.221408,9.01834,84.109687,0.091677
363.8,552.58,4.5667,0.34794,13.211,-3.7563,436.27,11.261,8.2677,6.519e-07,6.4546e-07,1.1342,1.134,3.9163,0.00020857,443.497228,-9.452428,84.203769,0.064073
3500.3,375.24,4.0494,0.86653,7.2562,3.3788,-311.32,6038.4,6.3966,0.00015135,0.00014435,2.9959,2.9953,1.735,0.00093545,549.221405,9.018341,84.325798,0.093511
-2.4903,650.98,4.8684,-4.055e-06,648.57,-244.78,-905.97,0.00018338,0.00018942,1.8881e-11,3.2645e-11,0.22835,0.26183,2.1659e-05,1.5094e-07,603.954209,-5.424749,84.434197,0.00058844
1978.4,676.33,3.6146,1.3467,0.6386,4.6032,-273.25,1308.3,13.992,0.00021338,0.00019324,1.6395,1.6397,3.5603,0.0018585,580.385339,4.216853,84.645261,0.1547
74210000,38446000,1.4816,0.070073,-25074000,21620000,95142000,3.5074e-12,6.2813e-12,1143200,1275000,9.9696e-12,7.2663e-12,6.8679e-12,0.037209,165.310274,-6.910688,84.871302,1.6211
-1.6441,609.43,4.8693,4.034e-06,652.92,-235.42,478.16,0.036597,0.010456,2.8017e-11,4.6559e-10,10.953,1.9331,643.31,2.2351e-07,639.316684,8.597817,84.884883,0.00076382
130.29,251.36,1.6261,0.57765,2.9309,1.9255,-160.36,0.3194,0.69247,8.0609e-08,3.7837e-07,0.17237,0.17237,0.19907,0.00010114,214.454811,5.185894,84.918979,0.35615
814.71,366.79,4.022,0.9487,3.32,3.8879,-307.42,74.941,3.9355,1.23e-05,1.0397e-05,1.5748,1.5748,1.2303,0.0016268,523.529447,9.188976,85.332182,0.16522
-0.7103,2373.9,4.8685,6.0418e-06,638.44,-251.69,1316.4,0.19264,0.0032593,4.1281e-11,9.9346e-11,225.97,0.72254,0.00053362,3.2966e-07,654.812666,6.874679,85.517662,0.0021373
0.00031438,-209.91,4.8693,1.2467,613.33,-204.34,148.29,2.442e-07,42.2,2.4337e-11,4.3324,222.17,92.667,11961,1.8723e-07,633.011294,-0.83054,85.804665,0.00070115
221.56,345.11,3.1871,1.0463,0.86839,2.5196,-246.93,0.81012,0.85117,5.1266e-07,1.1195e-06,0.20954,0.20954,0.28563,0.00038383,422.286986,7.516893,85.824961,0.32544
337.36,715.43,3.6506,1.3391,-0.98521,1.6556,-185.61,3.1763,4.5173,3.1389e-06,2.9038e-06,0.31458,0.31458,1.2335,0.00091059,524.724907,4.180399,85.833767,0.28737
-1.2492,162.8,4.8686,7.361e-05,682.64,-263.96,-64.504,0.35465,11.978,2.5461e-11,6.7485e-09,113.02,114.01,30844,2.0085e-07,689.226966,0.551457,85.967509,0.00068092
260.97,361.83,3.6665,1.2717,1.4819,5.1868,-292.89,1.2437,0.97387,1.043e-06,1.7732e-06,0.24652,0.24652,0.34378,0.00064705,482.983765,7.652898,86.010881,0.31701
657.88,791.45,3.6927,1.3078,-0.027261,2.751,-194.39,35.832,11.338,1.9998e-05,1.4521e-05,0.73718,0.7372,2.7833,0.0016259,540.019321,3.234075,86.043771,0.22235
42575,-81601,4.7098,0.023978,-171680,-190350,379350,9.3575e-14,2.0376e-14,0.00019047,5.1075e-06,4.1158e-15,5.059e-15,4.4303e-15,0.0012704,587.937492,9.0711,86.123194,0.05005
189.23,304.31,2.6136,0.90601,1.9747,2.9111,-221.12,0.58677,0.73284,2.9869e-07,8.2397e-07,0.19252,0.19252,0.23426,0.00026834,332.167807,8.08345,86.236583,0.34948
272.13,826.95,3.7472,1.2044,2.7783,2.2173,-6.2963,1.6853,5.9141,1.6893e-06,1.8436e-06,0.24326,0.24326,1.2421,0.00059447,492.73715,0.19576,86.789341,0.26719
152.13,533.18,3.2673,0.55693,10.473,-1.0662,320.73,0.54805,2.9223,1.6146e-07,6.0163e-07,0.27502,0.27501,1.2472,0.00015189,346.985346,-7.140885,86.841726,0.17409
774.61,641.27,3.6326,1.3746,0.34464,2.7827,-277.44,56.559,7.6326,2.68e-05,2.0507e-05,0.92244,0.92245,2.2508,0.002102,538.896226,5.287215,87.125653,0.2353
195.12,43.408,0.62646,3.9858,28.286,66.953,-850.26,198.34,9.652,0.00022307,0.0002454,12.301,12.437,1.9923,0.14755,526.905686,1.146466,87.251546,7.497
-9.6608e-05,978.97,4.8678,-0.16957,732.89,-506.33,-7107.1,0.0050092,0.051721,2.2967e-11,14866,108.06,591.66,0.65113,1.5681e-07,674.392523,-7.543696,87.439831,0.0006736
163100000,1008.3,-39147,39152,4.4706,2.9723,73.717,0.019242,59.888,83484,83485,2.4299,2.4297,10.936,0.0010142,566.95015,-0.437563,87.457108,0.085851
0.13386,-1.8,4.8689,-0.00012353,1796.2,-902.07,-1891.7,10.828,1921.3,4.0112e-11,7.7024e-10,24063,128.89,816.93,2.372e-07,497.068813,-10.186354,87.480782,0.0027406
-0.80916,967.66,4.8685,1.0837e-07,656.29,-269.94,458.11,1.6221e-05,8.9895e-12,3.4694e-11,3.4082e-11,1.5113e-08,1.5611e-09,1.9484e-12,2.7748e-07,674.205472,7.855305,88.040808,0.00076112
198.08,366.1,2.6366,1.1549,0.93926,2.5077,-226.83,0.53205,0.78548,4.603e-07,1.2049e-06,0.16608,0.16608,0.26284,0.0003795,369.724483,6.957387,88.074804,0.4293
230.04,378.51,3.2422,1.3417,0.84557,4.7452,-258.25,0.74011,0.82036,7.7814e-07,1.5944e-06,0.18054,0.18055,0.28343,0.00054425,456.021869,7.725132,88.203039,0.40447
3229.2,564.95,3.2159,1.7467,3.4113,8.9818,-327.49,5985.1,11.912,0.00079308,0.00075366,2.2062,2.207,3.084,0.0027083,594.079756,6.461785,88.498037,0.16966
271.97,334.05,3.6463,1.3339,-0.89371,1.5109,-267.65,1.8768,1.1794,1.6014e-06,2.6204e-06,0.34214,0.34214,0.39492,0.0009761,505.176811,9.791991,88.644848,0.33382
224.16,756.24,3.1229,1.4595,1.9341,2.3865,-74.795,0.97087,4.3837,1.5904e-06,2.5721e-06,0.21342,0.21342,1.027,0.00079009,473.41548,1.182987,89.060604,0.43654
195.64,562.2,2.4513,1.3118,1.3154,2.0742,-150,0.59078,1.8753,7.7405e-07,1.9393e-06,0.18053,0.18053,0.56001,0.0005471,385.72281,2.627146,89.129175,0.50942
1864200,478.84,-305.11,310.03,5.4926,4.8341,-326.69,4.724e-07,10.674,4.2743,4.2767,3.2969,3.2968,2.9821,0.0015906,641.054823,7.180361,89.442186,0.11284
0.30413,0.1199,0.306,1.7335,30.862,76.065,-807.45,1383500,215020,5.2678e-05,9.042e-05,18.328,18.117,4.319,0.051151,213.237474,8.127306,89.45362,6.5686
-0.11635,242.69,4.8684,-1.6829e-07,653.93,-273.83,551.03,0.00013284,2.5624e-11,3.2953e-11,2.3041e-09,4.1156e-08,6.2754e-10,3.2269e-12,2.635e-07,676.832981,9.243573,89.6259,0.00075555
192.47,276.73,3.1141,1.1991,0.60484,1.5938,-237.35,0.72164,0.76209,6.067e-07,1.5844e-06,0.22641,0.22641,0.24026,0.00054488,428.733815,9.444511,89.646879,0.38548
226.05,492.08,2.925,1.4784,0.67312,3.1549,-236.98,0.67971,1.1998,9.7229e-07,1.9482e-06,0.16606,0.16606,0.41105,0.00062135,441.473079,5.135881,89.659838,0.48716
10332,430.61,2.6391,2.2848,5.791,3.2157,-309.82,268260,9.5451,0.0092156,0.0091353,3.2312,3.2306,2.3471,0.0017146,620.412766,8.314233,89.666785,0.12806
189.54,709.32,2.7646,1.1415,4.4274,0.6039,19.63,0.6549,3.799,7.2288e-07,1.6947e-06,0.20125,0.20125,0.90809,0.00046535,378.77972,-0.085571,89.727084,0.40519
-42.549,1446,4.8688,-3.0377e-07,681.57,-287.85,-649.19,0.0089325,15.842,1.9788e-11,5.0798e-13,0.30444,0.36618,7.7634,1.581e-07,521.138342,-8.093473,89.936486,0.00077332
276.93,342.08,3.5926,1.3954,0.13625,3.0622,-275.28,1.8308,1.1441,1.7044e-06,2.7145e-06,0.32432,0.32432,0.38769,0.0010104,512.684392,8.727455,89.962453,0.34007
317.89,303.66,3.7352,1.2655,1.0858,1.8848,-279.59,3.7849,1.4597,2.4261e-06,3.3297e-06,0.52561,0.52561,0.47699,0.0012864,520.882501,9.605252,90.039345,0.28652
313.01,594.82,3.2292,1.8026,-1.9795,1.5537,-247.2,2.5763,2.9808,4.5407e-06,5.1154e-06,0.32276,0.32276,0.97403,0.0017098,538.732083,4.834912,90.060385,0.4515
215.47,795.91,3.2732,1.4564,4.0592,1.46,16.435,0.86778,4.943,1.4864e-06,2.4768e-06,0.20235,0.20234,1.0788,0.00074923,468.750353,-0.044884,90.069992,0.41646
143.62,534.74,2.654,0.70981,9.2021,-0.52563,252.18,0.46409,2.8213,2.282e-07,9.8644e-07,0.25216,0.25216,1.0379,0.0002285,295.44738,-5.138953,90.19359,0.27116
317.72,402.69,3.4867,1.5261,-0.67059,2.1438,-278.23,2.8499,1.6357,3.0262e-06,3.9559e-06,0.38731,0.38732,0.56421,0.001427,514.677468,8.692014,90.250025,0.36859
754.33,493.51,3.4978,1.5315,-0.83999,2.5438,-299.67,56.395,5.3369,2.9975e-05,2.3871e-05,1.1803,1.1803,1.6801,0.0033769,577.769251,6.644043,90.34584,0.2926
2482.9,745.42,2.8745,2.117,0.67157,2.1242,-274.57,2938.2,18.304,0.00091541,0.00085483,1.6456,1.6457,4.4061,0.0035339,633.011294,3.135957,90.359044,0.21552
136.7,413.95,1.549,0.8109,2.8489,2.977,-94.046,0.29086,1.201,1.7195e-07,8.9316e-07,0.1649,0.1649,0.36165,0.0001958,241.927006,2.106963,90.490259,0.50778
1054.4,702.55,4.2537,0.67807,10.986,-5.2571,418.86,236.74,17.506,2.0902e-05,1.7232e-05,1.7142,1.7137,6.0898,0.00076376,486.605558,-6.969556,90.53541,0.094069
-3.5039,448.06,4.8689,6.4001e-06,647.06,-256.59,267.8,1.0517,28870,5.755e-11,6.4343e-10,31.793,21.351,392.84,4.5819e-07,685.942652,9.92995,90.560005,0.0022475
662.82,317.06,3.7595,1.2512,3.4859,5.5334,-301.49,46.422,3.3638,1.5106e-05,1.3411e-05,1.6032,1.6033,1.059,0.0030716,570.519654,9.517824,90.5953,0.24474
-335260,-4518100,4.5719,0.29832,-3285.4,154900,-34696,9.8589e-12,5.4274e-14,3.2639,3.3682,2.0165e-14,4.3946e-11,1.231e-17,0.00039008,685.187164,0.982059,90.619528,0.050201
155.06,304.4,1.969,1.1116,1.5052,3.048,-202.42,0.41516,0.81205,3.7471e-07,1.4213e-06,0.18674,0.18674,0.25693,0.00040258,305.095653,5.511427,90.651086,0.55659
787.82,753.57,4.1623,0.78617,12.188,-2.7519,407.99,93.719,17.353,1.558e-05,1.21e-05,1.3378,1.3373,6.3052,0.00094244,493.533393,-6.231769,90.661889,0.11781
