"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)","Run Number"
130,-8,5000,22.406,0.0018437,0.046876,-3.4637,0.41791,3.3819e-08,7.1467e-07,0.16294,-9.154e-08,-5.4199e-05,0.042421,0.039865,-0.73752,170.74,4.5582e-17,2.599e-13,3.584e-07,3.4902e-07,1.4505e-15,1.752e-20,2.1228e-12,53
130,-8,6000,-31.56,-0.0015232,0.12552,-3.1667,0.71052,3.2245e-07,3.949e-06,0.24811,-3.848e-06,-0.0012911,0.11457,0.11295,0.29093,142.95,4.9542e-14,1.3044e-13,2.1241e-06,2.0633e-06,0.1767,2.1464e-11,1.0872e-12,54
130,-8,7000,41.081,-0.0080238,0.21729,-3.209,1.0451,1.2069e-06,9.2066e-06,0.32381,92766000,2329700,0.031086,68.397,-991960,60909000,1.0487e-27,1.2285e-23,1.086e-06,1.94e-15,8.1182e-25,9.6265e-27,8.7439e-13,55
130,-8,8000,51.674,-0.01909,0.32949,-2.9405,1.389,3.2702e-06,1.5807e-05,0.37454,3.7365e-06,0.0006533,0.29897,0.30008,0.38389,139.75,4.4764e-14,1.965e-11,1.3402e-05,1.3027e-05,0.27868,4.4167e-11,6.7827e-13,56
130,-6,1000,-30.429,0.0013708,1.6437e-05,15.638,98.197,7.8347e-13,1.0217e-11,34.789,0.0077791,0.071846,0.0013793,1.0008e-05,-9.2439,175.2,3.4854e-06,4.088e-08,2.7371e-13,4.2998e-13,2.3774e-17,1.2496e-18,1.0259e-10,57
130,-6,2000,-20.108,0.0017791,6.983e-05,3.0007,2.9258,5.7126e-13,1.4149e-11,1.1718,0.00030722,0.011587,0.0018198,3.3912e-05,8.6738,247,1.8007e-08,2.5261e-05,4.5288e-13,4.8453e-13,2.0904,0.00012295,2.1042e-10,58
130,-6,3000,-16.53,0.0015835,0.03429,-3.4439,0.19641,1.0829e-08,3.5297e-07,0.081977,-1.5791e-06,-0.0011253,0.036535,0.034861,2.6731,490.07,8.8431e-15,8.3258e-11,1.7279e-07,1.6858e-07,0.083368,1.0772e-08,2.3582e-12,59
130,-6,4000,-27.466,-0.0043986,0.19812,-7.2925,0.54782,6.8164e-07,1.0506e-05,0.2011,-4.5625e-06,-0.001505,0.19263,0.19456,1.9744,502.9,1.9569e-10,2.1375e-05,3.6748e-06,3.5766e-06,0.11503,32.844,5.1302e-13,60
130,-6,5000,38.317,-0.018028,0.40673,-7.4074,0.99514,4.1935e-06,3.6444e-05,0.31942,-92535000,-6.2807,0.19928,0.16939,8680900,635.28,1.0636e-13,21.966,0.0054029,0.00511,4.8348e-11,7440.9,4.5746e-13,61
130,-6,6000,50.02,-0.043967,0.67869,-7.6995,1.4604,1.4816e-05,7.6631e-05,0.4027,2.3448e-07,3.6485e-05,0.63372,0.647,2.0682,544.55,5.1564e-13,1.2237e-08,3.9576e-05,3.8822e-05,1.6222e-11,8.0812e-17,4.2471e-13,62
130,-6,7000,61.296,-0.080258,0.95685,-7.657,1.8628,3.434e-05,0.00011534,0.44082,-1.0747e-07,-1.31e-05,0.87748,0.89481,2.1519,554.66,2.4662e-11,3.662e-07,7.7787e-05,7.6777e-05,4.0939e-11,3.9468e-16,4.5312e-13,63
130,-6,8000,74.003,-0.1365,1.2964,-7.6859,2.1814,6.9153e-05,0.00015334,0.43149,-1.1908e-05,-0.0011622,1.1595,1.1778,2.1643,557.45,0.005379,51.237,0.00021167,0.00026178,0.35514,30.08,5.198e-13,64
130,-4,1000,49.808,0.00137,1.0474e-05,-10.847,472.25,1.1438e-12,5.9748e-12,130.66,-6.7222e-09,-8.0012e-08,0.0013777,7.3129e-06,3.5943,361.01,1.0648e-06,0.00015222,4.2856e-13,8.94e-13,4.5421e-14,1.5928e-14,8.1562e-09,65
