"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
142.5,5,1000,83.159,0.051417,0.99105,-34.21,6.6728,1.5547e-05,0.00014499,3.5722,-0.00016377,-0.0029866,1.057,0.99618,-16.084,-447.53,6.6194,2200.9,0.00015133,0.00018234,0.47902,11.86,5.6066e-13
142.5,5,1120,97.672,0.043673,1.2817,-35.795,10.121,3.3749e-05,0.00025068,5.7179,2.7503e-06,4.2294e-05,1.37,1.3023,-15.474,-494.2,0.0019373,0.45791,0.00026574,0.0003275,0.61604,12.522,4.8846e-13
142.5,5,1240,111.93,0.032967,1.5732,-38.467,12.926,5.8297e-05,0.00035148,7.3437,0.0002974,0.0038337,1.6806,1.6015,-15.192,-496.03,24.315,4038.4,0.0004251,0.00053661,0.81355,13.762,5.2909e-13
142.5,5,1360,123.74,0.017563,1.9134,-43.526,15.389,9.8195e-05,0.00048749,8.1879,0.0002045,0.0022613,2.0049,1.9071,-14.797,-497.67,11.895,1455.2,0.00063477,0.00082013,1.0609,14.644,5.7248e-13
142.5,5,1600,156.8,-0.038445,2.6358,-51.913,25.764,0.00027289,0.00089173,12.746,-4.0473e-05,-0.00034635,2.7141,2.5483,-14.175,-543.92,0.51272,37.564,0.0012261,0.0016608,1.5181,17.25,5.6372e-13
142.5,5,1720,176.7,-0.078625,3.049,-53.741,30.418,0.00039856,0.0010902,15.008,-0.0012001,-0.0090565,3.1205,2.8927,-13.927,-545.67,477.98,27222,0.0016636,0.0023051,1.9238,18.429,6.2071e-13
142.5,5,1840,195.81,-0.12737,3.5213,-55.089,33.5,0.00055039,0.0013076,16.389,-0.0010144,-0.0067894,3.5365,3.2267,-13.734,-547.11,348.49,15613,0.0021456,0.003055,2.2935,19.343,7.2451e-13
142.5,5,1960,223.1,-0.19783,4.028,-51.76,36.45,0.00070836,0.0015425,18.71,-0.00086656,-0.0051117,3.9977,3.5738,-13.774,-548.89,268.12,9332.3,0.0027359,0.0040122,2.8112,20.509,8.0485e-13
142.5,5,2080,252,-0.30206,4.5967,-54.617,51.561,0.0012491,0.0023223,24.816,-0.0022717,-0.012019,4.492,3.9066,-14.013,-550.29,1438.9,40275,0.0034419,0.0051753,3.4515,22.17,8.9902e-13
142.5,5,2200,285.95,-0.42552,5.1399,-52.253,63.112,0.0017881,0.0030989,29.917,0.0023353,0.011638,4.9507,4.1906,-12.905,-594.43,2061.6,51187,0.0040365,0.0061912,3.6336,23.315,1.0304e-12
142.5,7,1000,82.059,0.053646,0.98782,-29.334,7.0124,1.5388e-05,0.0001542,4.2903,-8.1919e-05,-0.0015031,1.065,1.0053,-16.097,-492.98,1.4285,480.72,0.00013376,0.00016134,0.40708,10.593,7.4228e-13
142.5,7,1240,104.47,0.039705,1.6177,-38.211,9.3005,4.7387e-05,0.00031351,5.1334,1.2023e-05,0.00015005,1.7184,1.6444,-15.919,-499.63,0.033711,5.2488,0.00039042,0.00049542,0.7613,13.004,5.1433e-13
142.5,7,1360,117.92,0.025835,1.9534,-40.508,11.834,7.9933e-05,0.00043876,6.5765,-0.00046681,-0.0051982,2.0559,1.9652,-14.978,-544.18,53.555,6642.8,0.00057926,0.00074929,0.8806,13.325,4.7444e-13
142.5,7,1480,132.05,0.0086944,2.2897,-41.095,15.06,0.00012669,0.00059734,8.6619,0.00042965,0.0041527,2.4022,2.2868,-15.378,-547.32,47.898,4476.6,0.0008245,0.0010928,1.1076,15.331,5.4285e-13
142.5,7,1600,149.15,-0.019738,2.6734,-44.787,19.244,0.00020573,0.00078837,10.695,-0.00048864,-0.0040975,2.78,2.6298,-15.098,-548.71,64.192,4515.3,0.0011284,0.0015353,1.4021,15.848,4.9168e-13
142.5,7,1720,164.84,-0.056149,3.1483,-50.686,22.313,0.00032077,0.00099691,11.428,-0.00083401,-0.0062923,3.2105,3.0007,-13.771,-592.97,195.77,11147,0.0015438,0.0021517,1.6514,16.292,5.1894e-13
142.5,7,1840,188.27,-0.10884,3.5932,-49.472,29.133,0.00049137,0.0013278,15.554,-0.0013106,-0.0087725,3.6483,3.3606,-13.621,-595.03,508.71,22787,0.0020311,0.0029028,2.0372,17.406,6.6555e-13
142.5,7,1960,207.11,-0.16536,4.1085,-55.153,30.452,0.00065742,0.0014663,14.916,-0.0009787,-0.0057604,4.1229,3.7278,-13.488,-596.52,290.65,10071,0.0025804,0.0038055,2.452,18.281,7.0604e-13
142.5,7,2080,235.42,-0.2569,4.7415,-54.526,35.209,0.00093785,0.0018568,17.222,-0.0025738,-0.013925,4.6331,4.084,-12.955,-641.06,2150.7,62947,0.0032489,0.0048889,2.9322,20.198,8.0917e-13
142.5,7,2200,252.24,-0.32079,5.2081,-60.642,31.173,0.0010052,0.0017149,13.82,0.0034322,0.016688,5.0701,4.3546,-12.236,-642.1,4210.8,99526,0.0038498,0.0059344,3.6084,20.754,8.5649e-13
142.5,9,1000,79.894,0.057718,1.0238,-29.578,4.2983,1.0471e-05,0.00010791,2.567,-0.00014299,-0.0024345,1.0956,1.0364,-15.839,-494.35,3.6681,1063.7,0.00012298,0.00014964,0.39116,9.1422,8.5511e-13
142.5,9,1120,91.66,0.053949,1.3341,-30.435,5.4729,1.9768e-05,0.00017137,3.4549,1.6453e-05,0.00022854,1.4384,1.375,-15.436,-497.52,0.050878,9.8214,0.0002264,0.00028285,0.54706,9.8092,6.2113e-13
142.5,9,1600,143.99,-0.0029173,2.7836,-44.072,11.828,0.00014025,0.00056754,6.5953,-0.00084032,-0.0068995,2.8929,2.7414,-14.236,-594.22,166.06,11194,0.001091,0.0014946,1.2701,13.846,4.8037e-13
142.5,9,1840,184.73,-0.080995,3.7264,-44.528,17.6,0.00031199,0.00093868,10.205,0.0010695,0.0070218,3.7934,3.5072,-13.406,-641.02,289.91,12500,0.0019334,0.0027916,1.8154,15.765,5.457e-13
142.5,9,1960,199.98,-0.12621,4.2325,-52.958,21.967,0.00050671,0.0012127,11.124,-0.0030049,-0.017344,4.2872,3.8959,-13.072,-643.63,1787.8,59557,0.0024604,0.0036357,2.3667,16.472,6.4566e-13
142.5,9,2080,225.11,-0.20116,4.8918,-51.603,23.882,0.00068051,0.0014726,12.274,-0.0025347,-0.012987,4.8318,4.2848,-13.79,-645.86,1768.4,46414,0.0031449,0.0048133,2.7778,18.66,6.7022e-13
142.5,9,2200,240.55,-0.25163,5.2172,-68.049,21.701,0.00075384,0.001226,8.7876,0.0012108,0.0052082,5.163,4.4591,-12.311,-647.04,500.26,9257.5,0.0036363,0.0058728,3.6743,18.396,1.6557e-12
142.5,11,1240,103.41,0.063593,1.6839,-32.346,3.9737,2.0732e-05,0.00015148,2.5321,-0.00030403,-0.0034504,1.8132,1.7326,-14.82,-544.19,15.596,2009.4,0.00032841,0.00042368,0.63462,9.4831,5.1232e-13
142.5,11,1480,130.34,0.044401,2.412,-36.271,7.5855,6.8463e-05,0.00035715,4.828,-0.00055962,-0.0049865,2.553,2.43,-14.444,-593.08,59.795,4748.6,0.00071601,0.00096608,0.94479,11.5,4.5715e-13
142.5,11,1600,141.78,0.033652,2.8116,-40.955,7.6503,9.1229e-05,0.00039566,4.5207,-0.0009962,-0.0077546,2.9603,2.8016,-14.345,-595.98,198.77,12044,0.00099305,0.001375,1.2043,12.253,4.5027e-13
