"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Run Number"
120,0,3333.333333,20.159,-0.016755,0.87326,6.723,0.12514,3.8139e-06,9.4128e-05,0.050094,0.00034273,0.0075222,0.83205,0.87855,2.5092,-184.6,5.2018,2506,2.1794e-05,3.1048e-05,0.12722,2.2674,37
120,0,3800,24.273,-0.027718,1.1654,6.4412,0.14698,6.9218e-06,0.00012956,0.056055,0.00016412,0.0031239,1.082,1.1438,5.8401,-196.33,1.3635,493.96,3.9614e-05,5.8466e-05,0.11098,2.1934,38
120,0,4266.666667,-27.583,-0.041268,1.4722,6.3817,0.1875,1.2842e-05,0.00019656,0.068731,0.00016393,0.0028557,1.3558,1.4319,5.7371,-232.02,1.2836,389.52,5.8287e-05,8.7712e-05,0.11379,2.0555,39
120,0,4733.333333,31.352,-0.059721,1.8206,6.2871,0.23355,2.2398e-05,0.00027744,0.081771,0.00038877,0.006274,1.6292,1.7175,5.6618,-237.9,6.1314,1596.8,8.9096e-05,0.00013641,0.1238,2.2736,40
120,0,5200,35.962,-0.081766,2.1281,5.7414,0.27872,3.3426e-05,0.00032598,0.092156,-0.00017786,-0.0027316,1.9838,2.0816,7.1397,-276.31,1.3776,324.92,0.00012131,0.00018824,0.1172,2.4044,41
120,0,5666.666667,-41.051,-0.11241,2.5359,5.5165,0.31005,4.8784e-05,0.00037269,0.096103,0.0002175,0.0031278,2.3154,2.4229,5.8886,-284.77,2.2617,467.75,0.0001779,0.00028072,0.13482,2.3745,42
120,0,6133.333333,-45.83,-0.14938,2.9573,5.539,0.35938,7.2383e-05,0.00044661,0.10471,-9.9875e-05,-0.0013977,2.6688,2.7744,6.5407,-321.79,0.46268,90.622,0.00023913,0.00037988,0.14872,2.4391,43
120,0,6600,-51.203,-0.19079,3.3386,5.3802,0.39258,9.5308e-05,0.00046964,0.10654,0.00012733,0.0016989,3.0235,3.1327,6.1739,-329.13,0.80115,142.62,0.00032191,0.0005182,0.15449,2.708,44
120,0,7066.666667,-55.785,-0.23107,3.6846,5.1808,0.40903,0.00011629,0.00047856,0.10436,0.00027341,0.0035074,3.3042,3.4092,6.6346,-335.63,4.1009,674.82,0.00042128,0.00068564,0.18506,3.0001,45
120,0,7533.333333,-61.404,-0.28434,4.0951,4.8612,0.4225,0.00014258,0.00047685,0.099799,-0.00016296,-0.0020228,3.6787,3.772,6.5715,-372.2,1.4334,220.83,0.00051888,0.00085274,0.18721,3.1885,46
120,0,8000,-68.901,-0.36121,4.6152,4.5525,0.42244,0.00017365,0.00045055,0.089829,1.5094e-05,0.00018398,4.1471,4.2117,9.3034,-390.74,0.012669,1.8824,0.00068991,0.001141,0.11705,4.0756,47
115,0,1000,55.246,0.00038138,0.020119,14.99,1.1993,1.0203e-08,4.2958e-08,0.3087,0.093326,4.98,0.017006,0.015976,1.5921,-28.285,0.0024024,6.7788,5.1095e-08,5.0946e-08,0.7765,31.624,48
115,0,1466.666667,9.0982,0.00032969,0.16561,8.4871,0.033903,7.3226e-08,5.0961e-06,0.015379,8699.3,1838.7,0.12974,0.123,318.9,-77.99,971230000,4334900,7.7811e-05,6.6151e-05,102820,216.86,49
115,0,1933.333333,16.191,-0.0040654,0.39651,7.7092,0.049267,3.6953e-07,1.239e-05,0.020644,0.00040864,0.0068186,0.40309,0.42658,3.67,-101.88,5.9188,1648.1,3.6741e-06,5.6397e-06,0.1049,1.5044,50
115,0,2400,-18.791,-0.010773,0.73381,7.4364,0.063838,1.4525e-06,3.9635e-05,0.025962,-72615000,-0.30683,0.25443,-0.00019724,0.86226,-145.41,5.1492e-15,2.1553,2.4632e-05,5211600,3.1431e-07,3.9931e-08,51
115,0,2866.666667,24.375,-0.022037,1.0881,7.1548,0.074177,3.0358e-06,5.6459e-05,0.028256,0.00028528,0.0032807,1.0155,1.0743,4.1957,-145.66,2.6106,345.28,2.0628e-05,3.5174e-05,0.11522,1.3466,52
115,0,3333.333333,-28.692,-0.036144,1.4373,6.9214,0.10225,6.4934e-06,9.3232e-05,0.036983,-0.00038464,-0.0040834,1.3473,1.4175,3.203,-185.16,4.992,562.6,4.0002e-05,6.9632e-05,0.1545,1.443,53
115,0,3800,-34.055,-0.053537,1.7767,6.6805,0.11495,9.9451e-06,0.00010682,0.038924,-0.00041308,-0.0041305,1.6863,1.7678,4.8091,-190.3,4.5778,457.74,4.9167e-05,8.7333e-05,0.1089,1.235,54
115,0,4266.666667,-39.131,-0.07297,2.1133,6.4879,0.12332,1.3856e-05,0.00011582,0.039175,0.00035991,0.0033678,1.9896,2.0785,5.1156,-197.44,4.1296,361.58,7.9575e-05,0.00014453,0.14126,1.4386,55
115,0,4733.333333,44.693,-0.10177,2.5504,6.7335,0.14381,2.1831e-05,0.00014156,0.042531,-0.00027156,-0.0024036,2.3295,2.418,4.7902,-233.19,2.5336,198.48,0.00011794,0.00021779,0.15933,1.5696,56
115,0,5200,-51.221,-0.13579,2.9491,6.1735,0.15831,2.9982e-05,0.00014764,0.042955,-3.2257e-05,-0.00027205,2.732,2.8166,2.0054,-239.04,35.626,2533.6,0.00016132,0.0003023,0.18806,1.4069,57
115,0,5666.666667,-58.241,-0.17739,3.4091,6.1022,0.16281,3.89e-05,0.00014596,0.040175,0.00029398,0.0024489,3.1336,3.1987,6.4127,-276.21,3.1916,221.47,0.00022878,0.00043079,0.18138,1.958,58
115,0,6133.333333,-64.669,-0.21648,3.8111,5.8882,0.15931,4.5657e-05,0.00013631,0.035963,-0.00046071,-0.0036224,3.4746,3.5217,5.9143,-282.44,9.3662,578.98,0.00032895,0.00063247,0.23094,2.3437,59
115,0,6600,-72.037,-0.26757,4.2701,5.8709,0.1598,5.5423e-05,0.00013034,0.032501,1.76e-05,0.00013772,3.8833,3.8909,8.6675,-297.47,0.09287,5.687,0.00041545,0.00079999,0.16193,2.7004,60
115,0,7066.666667,78.144,-0.30896,4.6285,5.7094,0.15269,6.0756e-05,0.00011953,0.028433,0.00014025,0.0010813,4.2452,4.2207,4.6544,-328.19,4.399,261.44,0.0004821,0.00093201,0.23755,2.1241,61
115,0,7533.333333,85.751,-0.36845,5.086,5.4213,0.14721,6.9107e-05,0.00011161,0.024512,-6.8821e-06,-5.1523e-05,4.6277,4.5506,5.114,-333.9,0.0072013,0.40345,0.00069367,0.0013565,0.30671,2.6836,62
115,0,8000,95.526,-0.44545,5.6402,4.9531,0.13632,7.7004e-05,0.00010062,0.019601,-0.00016738,-0.0012298,5.1281,4.9605,6.1149,-372.77,6.7693,365.38,0.00095255,0.0018759,0.3651,3.4691,63
110,0,1000,40.921,-0.0077173,0.18536,11.447,0.73326,6.1743e-07,4.7482e-06,0.22775,0.23395,3.4118,0.15623,0.16426,1.5287,-40.223,0.037128,7.8927,1.0013e-06,1.1519e-06,0.41492,5.2574,64
