"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
118,-26,3000,44.576,1.9794,0.74921,1.1599,0.02298,3.0149e-07,1.9645e-06,0.0068051,0.00043175,0.0012932,2.7217,0.714,-1.1903,-129.12,12.674,113.7,1.0222e-05,4.3125e-05,0.77407,2.9104,7.5105e-13
160,4,6000,45565,-44.65,52.109,96.949,0.0037584,182.95,182.96,1080.5,-38.593,2.5518,7.5301,0.052381,449260,61643,1.4135,320.93,0.52648,0.4426,4.3953e-08,4.3035e-07,6.5986e-12
148,-2,3000,105.3,0.0018267,2.1318e-05,12.206,583.35,4.6273e-12,5.1429e-12,72.555,1.3428,67.43,0.0018741,1.5415e-05,-7.8347,1345.7,0.081068,0.00012545,5.1642e-13,6.3636e-13,81.566,9.7511e-06,6.5986e-12
106,-2,7000,165.65,0.55927,5.2721,5.9673,1.2389,0.00057813,0.00046762,0.058915,0.00071055,0.003551,5.8248,4.1921,6.6186,-385.06,63.826,1594,0.00097252,0.0022569,0.71318,4.8764,6.5986e-12
118,-26,4000,55.758,2.6674,1.0653,2.3244,0.049429,1.1752e-06,4.8396e-06,0.012614,0.00062851,0.001964,3.7354,1.0414,-1.1792,-190.54,4.1647,40.669,4.9927e-06,2.0612e-05,0.17118,0.66606,7.5105e-13
160,4,7000,32.131,8.6174,0.0029549,-184.46,249.75,5.8449e-08,7.9814e-07,92.938,149810,34630,8.6193,1.9901e-05,-60001,-487450,2.4188e-25,2.2358e-21,1.7654e-05,0.81484,7.8487e-22,3.4741e-24,6.5986e-12
148,-2,4000,39.472,0.0022889,4.0116e-05,9.9224,28.065,1.1301e-12,9.2957e-12,8.8778,-0.00023393,-0.0025228,0.0023455,2.5915e-05,-8.1657,-106.59,5.6519e-07,6.4211e-05,4.1357e-13,5.1048e-13,5.6636,0.01921,6.5986e-12
106,-2,8000,180.55,0.95465,5.7986,5.5041,1.5559,0.00087148,0.00071079,0.058242,-0.0010177,-0.0054876,6.7528,4.5607,6.251,-427.49,175.94,5114.7,0.0014612,0.0032755,0.90659,6.2831,6.5986e-12
118,-26,5000,66.16,3.2912,1.3921,2.569,0.058967,2.2367e-06,6.3468e-06,0.013032,0.0019592,0.0064421,4.684,1.3211,-1.1751,-245.35,62.949,680.62,9.9487e-06,4.0048e-05,0.20764,0.8842,7.5105e-13
160,4,8000,-2144.6,9.8004,-0.0013722,57.192,0.00057972,2.8287e-06,2.862e-06,14328,2960300,1983.2,9.7991,-0.10595,-385.75,1219.7,8.4404e-09,700.75,5.4626e-11,6.3134e-05,4297.3,337.37,6.5986e-12
148,-2,5000,56.314,0.0027314,7.3246e-05,13.444,13.539,1.514e-12,6.1163e-12,3.4337,0.00041397,0.0069529,0.002814,5.034e-05,7.4269,-137.12,2.3421e-06,0.00066212,3.9903e-12,4.4489e-12,9.1633,203.88,6.5986e-12
106,0,3000,65.147,0.38519,2.0985,7.8505,0.068348,5.9223e-06,1.7403e-05,0.015331,-0.0023115,-0.0063595,2.4962,1.9897,1.8333,-144.47,119.24,902.57,3.7732e-05,0.00012097,0.23445,0.79056,6.5986e-12
118,-26,6000,78.482,3.9803,1.7374,2.5991,0.1111,6.2232e-06,1.2122e-05,0.020579,0.00019822,0.00069677,5.7555,1.6518,-1.3879,-302.85,3.4938,43.163,2.1213e-05,8.2602e-05,0.26629,1.1921,7.5105e-13
160,6,3000,276.64,3.8499,-0.0022179,-56.837,17080,1.1225e-06,1.0055e-06,280.96,15199000,-3242.7,3.8494,0.00011213,-476.34,-627.23,0.00011867,11831,3.1755e-09,3.6349e-08,515840,0.50929,6.5986e-12
148,-2,6000,47.208,0.0032319,0.00010774,15.024,6.1521,1.6187e-12,9.427e-12,1.7621,0.0017682,0.04261,0.0033534,9.2766e-05,8.3664,-281.27,4.3101e-05,0.025039,2.8512e-11,2.9865e-11,12.792,530.17,6.5986e-12
